Lap,Metric,Task,Value,Unit
All,Total indexing time,,258.36021666666664,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.0136,min
All,Max indexing time per shard,,29.331633333333333,min
All,Total merge time,,251.28731666666667,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.009033333333333334,min
All,Max merge time per shard,,37.94916666666666,min
All,Total merge throttle time,,21.307000000000002,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0.0,min
All,Max merge throttle time per shard,,4.496783333333334,min
All,Total refresh time,,113.1857,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.025241666666666666,min
All,Max refresh time per shard,,14.705816666666667,min
All,Total flush time,,1.2912666666666666,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.010166666666666666,min
All,Max flush time per shard,,0.051166666666666666,min
All,Total Young Gen GC,,255.918,s
All,Total Old Gen GC,,1.481,s
All,Store size,,23.835435641929507,GB
All,Translog size,,1.1133329421281815,GB
All,Heap used for segments,,49.2351713180542,MB
All,Heap used for doc values,,1.9494781494140625,MB
All,Heap used for terms,,42.28037452697754,MB
All,Heap used for norms,,0.48101806640625,MB
All,Heap used for points,,0.5421228408813477,MB
All,Heap used for stored fields,,3.982177734375,MB
All,Segment count,,716,
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,12.67,ops/s
All,Median Throughput,index-stats,16.08,ops/s
All,Max Throughput,index-stats,17.61,ops/s
All,50th percentile latency,index-stats,52342.33201199095,ms
All,90th percentile latency,index-stats,66429.12260068697,ms
All,99th percentile latency,index-stats,69706.06403132406,ms
All,99.9th percentile latency,index-stats,70125.68832728831,ms
All,100th percentile latency,index-stats,70153.14116500667,ms
All,50th percentile service time,index-stats,41.80963100225199,ms
All,90th percentile service time,index-stats,52.12007271184121,ms
All,99th percentile service time,index-stats,107.96498364710713,ms
All,99.9th percentile service time,index-stats,224.99298348260558,ms
All,100th percentile service time,index-stats,248.61980698187836,ms
All,error rate,index-stats,0.00,%
All,Min Throughput,node-stats,22.24,ops/s
All,Median Throughput,node-stats,23.67,ops/s
All,Max Throughput,node-stats,23.99,ops/s
All,50th percentile latency,node-stats,19314.00310600293,ms
