Lap,Metric,Task,Value,Unit
All,Total indexing time,,169.51588333333333,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.009016666666666668,min
All,Max indexing time per shard,,19.382366666666666,min
All,Total merge time,,216.93179999999998,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.0085,min
All,Max merge time per shard,,32.18725,min
All,Total merge throttle time,,18.7076,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0,min
All,Max merge throttle time per shard,,3.4945333333333335,min
All,Total refresh time,,96.15201666666667,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.02475,min
All,Max refresh time per shard,,14.777216666666668,min
All,Total flush time,,0.8034333333333333,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.006683333333333334,min
All,Max flush time per shard,,0.039066666666666666,min
All,Total Young Gen GC,,247.957,s
All,Total Old Gen GC,,1.093,s
All,Store size,,19.54647299926728,GB
All,Translog size,,1.2441757917404175,GB
All,Heap used for segments,,46.39353942871094,MB
All,Heap used for doc values,,2.109874725341797,MB
All,Heap used for terms,,39.853322982788086,MB
All,Heap used for norms,,0.5472412109375,MB
All,Heap used for points,,0.5056438446044922,MB
All,Heap used for stored fields,,3.3774566650390625,MB
All,Segment count,,629,
All,Min Throughput,index-append,46748.79,docs/s
All,Median Throughput,index-append,47349.81,docs/s
All,Max Throughput,index-append,48135.72,docs/s
All,50th percentile latency,index-append,1197.4928734853165,ms
All,90th percentile latency,index-append,1485.590958490502,ms
All,99th percentile latency,index-append,1853.3584267518015,ms
All,100th percentile latency,index-append,2934.131202986464,ms
All,50th percentile service time,index-append,1197.4928734853165,ms
All,90th percentile service time,index-append,1485.590958490502,ms
All,99th percentile service time,index-append,1853.3584267518015,ms
All,100th percentile service time,index-append,2934.131202986464,ms
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,23.20,ops/s
All,Median Throughput,index-stats,23.27,ops/s
All,Max Throughput,index-stats,23.40,ops/s
All,50th percentile latency,index-stats,33054.83539350098,ms
All,90th percentile latency,index-stats,46171.729157920345,ms
All,99th percentile latency,index-stats,49216.09586340957,ms
All,99.9th percentile latency,index-stats,49465.38286009058,ms
All,100th percentile latency,index-stats,49497.22008302342,ms
All,50th percentile service time,index-stats,40.557972504757345,ms
All,90th percentile service time,index-stats,49.365332088200375,ms
All,99th percentile service time,index-stats,96.10186319943746,ms
All,99.9th percentile service time,index-stats,121.13984123604068,ms
All,100th percentile service time,index-stats,255.28579798992723,ms
All,error rate,index-stats,0.00,%
