Lap,Metric,Task,Value,Unit
All,Total indexing time,,178.22583333333333,min
All,Min indexing time per shard,,0,min
All,Median indexing time per shard,,0.009399999999999999,min
All,Max indexing time per shard,,19.382366666666666,min
All,Total merge time,,241.28468333333333,min
All,Min merge time per shard,,0,min
All,Median merge time per shard,,0.0085,min
All,Max merge time per shard,,32.18725,min
All,Total merge throttle time,,17.872916666666665,min
All,Min merge throttle time per shard,,0,min
All,Median merge throttle time per shard,,0,min
All,Max merge throttle time per shard,,3.4945333333333335,min
All,Total refresh time,,112.62725,min
All,Min refresh time per shard,,0,min
All,Median refresh time per shard,,0.02475,min
All,Max refresh time per shard,,14.77725,min
All,Total flush time,,0.87425,min
All,Min flush time per shard,,0,min
All,Median flush time per shard,,0.007666666666666667,min
All,Max flush time per shard,,0.039066666666666666,min
All,Total Young Gen GC,,241.199,s
All,Total Old Gen GC,,0.673,s
All,Store size,,23.20514847151935,GB
All,Translog size,,1.081910727545619,GB
All,Heap used for segments,,51.25180625915527,MB
All,Heap used for doc values,,2.384735107421875,MB
All,Heap used for terms,,43.92044448852539,MB
All,Heap used for norms,,0.57275390625,MB
All,Heap used for points,,0.5526294708251953,MB
All,Heap used for stored fields,,3.8212432861328125,MB
All,Segment count,,676,
All,Min Throughput,index-append,57795.29,docs/s
All,Median Throughput,index-append,58930.06,docs/s
All,Max Throughput,index-append,59297.26,docs/s
All,50th percentile latency,index-append,3070.828323980095,ms
All,90th percentile latency,index-append,3462.3753837891854,ms
All,99th percentile latency,index-append,3769.0629333554534,ms
All,100th percentile latency,index-append,3921.829514991259,ms
All,50th percentile service time,index-append,3070.828323980095,ms
All,90th percentile service time,index-append,3462.3753837891854,ms
All,99th percentile service time,index-append,3769.0629333554534,ms
All,100th percentile service time,index-append,3921.829514991259,ms
All,error rate,index-append,0.00,%
All,Min Throughput,index-stats,24.11,ops/s
All,Median Throughput,index-stats,24.95,ops/s
All,Max Throughput,index-stats,25.15,ops/s
All,50th percentile latency,index-stats,29876.332483516308,ms
